"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-10-15",-1,733.5702,"hold",748.578,705.6696,"hold",-1,"1",741.94,740.98,743.83,730.7,3019100,"hold","hold",722.117134859193,748.578,775.038865140808,0.356429486345808,41.9650808633577,54.6139325380779,"hold"
"2012-10-16",-1,737.253,"hold",749.899,707.7072,"hold",1,"1",740.13,744.7,746.99,736.46,2058200,"hold","hold",727.258080495704,749.899,772.539919504296,0.38518575848888,51.571612627016,56.7747250317509,"hold"
"2012-10-17",-3,732.8253,"hold",751.2985,710.0062,"sell",1,"-8",743.95,755.49,756.34,740.26,2292900,"buy","hold",731.033119396616,751.2985,771.563880603384,0.603415279535882,49.2887073760949,62.3707456829207,"hold"
"2012-10-18",-1,688.05,"hold",749.6425,711.0616,"hold",-8,"-2",755.54,695,759.42,676,12442400,"hold","hold",719.209426625791,749.6425,780.075573374209,-0.397748632353173,39.3352310603244,35.0081416897417,"hold"
"2012-10-19",0,681.79,"hold",747.0325,711.8504,"hold",-2,"0",705.58,681.79,706.7,672,11482200,"hold","hold",704.952626485456,747.0325,789.112373514544,-0.275222149580021,27.5777996111711,31.7339470168807,"hold"
"2012-10-22",-0.5,675.27665,"hold",743.497,712.5838,"hold",0,"0",681.01,678.67,684.63,669.7,4055600,"hold","hold",691.977092740767,743.497,795.016907259233,-0.129145154258619,27.1346314771338,30.9965767318119,"hold"
"2012-10-23",-0.5,676.94825,"hold",740.0565,712.9906,"hold",0,"0",672.01,680.35,687.33,672,2916600,"hold","hold",681.763726082472,740.0565,798.349273917528,-0.0121260834530917,27.694794439058,31.9139770320729,"hold"
"2012-10-24",0,677.3,"hold",736.2485,713.1634,"hold",0,"0",686.8,677.3,687,675.27,2496500,"hold","hold",672.281407436714,736.2485,800.215592563286,0.0392279245638743,23.0740408993204,31.1054401536922,"hold"
"2012-10-25",0,677.76,"hold",732.3115,713.3678,"hold",0,"0",680,677.76,682,673.51,2401100,"hold","sell",664.253103523151,732.3115,800.369896476849,0.0992301991822839,17.9749331992974,31.3877740943556,"hold"
"2012-10-26",-1,668.3985,"hold",728.344,713.4134,"hold",0,"1",676.5,675.15,683.03,671.2,1950800,"hold","hold",656.76186105459,728.344,799.92613894541,0.128440831863331,18.0515654833467,30.6210043805257,"hold"
