"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-12-05",-1,520.330767266321,"hold",546.827048903403,588.660484476493,"hold",-6,"2",554.968525256054,525.586633602344,555.300193355731,525.567123714128,38245734.2516983,"sell","hold",505.262128625729,546.827048903403,588.391969181077,0.244491085762199,44.4815594057191,35.5677290691728,"hold"
"2012-12-06",-3.5,515.14552672564,"hold",546.302232910385,585.921115950909,"sell",2,"-3",515.978013655829,533.82956137372,539.75081244736,505.920666280339,43099478.1045721,"hold","hold",504.360885306163,546.302232910385,588.243580514606,0.351308169036884,42.5882377507612,39.3293089730602,"hold"
"2012-12-07",-1,514.980570620772,"hold",546.082746667952,583.24381951462,"hold",-3,"-1",539.838606944333,520.182394566436,541.594496883798,517.012037731291,28814721.7333125,"hold","hold",503.645810320769,546.082746667952,588.519683015135,0.194837159195222,44.648914894533,35.6214428217167,"hold"
"2012-12-10",-1,511.668084249971,"hold",545.24187048583,580.661965260687,"hold",-1,"2",512.134565677222,516.836448737345,525.313495167316,508.798374792239,23082961.5735226,"hold","hold",501.216428091823,545.24187048583,589.267312879838,0.177397656856349,36.1483997214566,34.7562717190222,"hold"
"2012-12-11",-1,522.841689879755,"hold",545.171634888252,577.992382502309,"hold",2,"0",526.542618124942,528.12291907046,536.092708406808,524.201431538989,21686643.9884082,"hold","hold",501.041780130291,545.171634888252,589.301489646212,0.306834671093989,35.605182513131,40.0459912786012,"hold"
"2012-12-12",-1,520.533572554329,"hold",544.981413478143,575.552340348761,"hold",0,"-2",534.346573411452,525.791487428615,534.570937125939,523.128387687094,17835058.6196456,"hold","hold",500.552855531106,544.981413478143,589.40997142518,0.284036136482257,35.2011447646008,39.3365132270502,"hold"
"2012-12-13",-5,490.874152740742,"hold",544.630723237456,573.080398465204,"sell",-2,"-4",518.133856303727,516.709634463939,524.464815029908,512.914961205873,22891673.9577951,"hold","hold",499.432457441324,544.630723237456,589.828989033587,0.191126547869605,30.796139726412,36.6152043293842,"hold"
"2012-12-14",-1,492.324322731858,"hold",543.858619411297,570.182921132703,"hold",-4,"2",502.135747966381,497.297295688745,505.432919074932,493.190464219219,36962179.9984705,"hold","hold",496.055087404139,543.858619411297,591.662151418454,0.0129928504490047,22.6527103184476,31.5853465531036,"hold"
"2012-12-17",5,531.421553420627,"hold",543.426963134511,567.26488238307,"buy",2,"3",496.458370495445,506.115765162502,507.257093623154,488.947063532179,27737114.3289573,"hold","hold",494.438579695033,543.426963134511,592.41534657399,0.119183208830468,23.8049137029174,35.8935481826056,"hold"
"2012-12-18",-1,515.60830127413,"hold",541.874463779701,564.731166154844,"hold",3,"-1",512.134565677222,520.816465933465,521.791960344279,507.500967225857,22907255.8000195,"hold","hold",492.092713972927,541.874463779701,591.656213586476,0.288496809292841,30.057705356279,42.4047756669461,"hold"
